key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
loadImage,Import image [I],Importar imagen [I],Importar imagen [I],Importar imatge [I],导入图像 [I],導入圖像 [I],画像をインポート [I],Importa immagine [I],Bild importieren [I],Importer une image [I],Importar imagem [I],Импорт изображения [I],Importar imagem [I],Importuj obraz [I],Resim içe aktar [I],Irudia inportatu [I],Importar imatge [I],นำเข้ารูปภาพ [I],이미지 가져오기 [I],Naimportovat obrázek [I]
loadImageDesc,"Load, drag and drop or paste an image to start processing it","Cargar, arrastrar y soltar o pegar una imagen para comenzar a procesarla","Cargar, arrastrar y soltar o pegar una imagen para comenzar a procesarla","Carregar, arrossegar i deixar anar o enganxar una imatge per començar a processar-la","加载、拖放或粘贴图像以开始处理它","載入、拖放或貼上圖像以開始處理它","画像を読み込み、ドラッグアンドドロップまたは貼り付けて処理を開始します","Carica, trascina e rilascia o incolla un'immagine per iniziare a elaborarla","Bild laden, ziehen und ablegen oder einfügen, um die Verarbeitung zu starten","Charger, glisser-déposer ou coller une image pour commencer à la traiter","Carregar, arrastar e soltar ou colar uma imagem para começar a processá-la","Загрузить, перетащить и отпустить или вставить изображение, чтобы начать обработку","Carregar, arrastar e soltar ou colar uma imagem para começar a processá-la","Załaduj, przeciągnij i upuść lub wklej obraz, aby rozpocząć przetwarzanie","Yükle, sürükle ve bırak veya yapıştır bir resmi işlemeye başlamak için","Kargatu, arrastatu eta jaregin edo itsatsi irudi bat prozesatzen hasteko","Cargar, traïnar e daissar o pegar una imatge per començar a la tractar","โหลด ลากและวางหรือวางภาพเพื่อเริ่มประมวลผลมัน","로드, 드래그 앤 드롭 또는 이미지를 붙여넣어 처리 시작","Načíst, přetáhnout a pustit nebo vložit obrázek pro zahájení zpracování"
loadImageToStart,Import an image to start editing,Importa una imagen para comenzar a editar,Importa una imagen para comenzar a editar,Importa una imatge per començar a editar,导入图片开始编辑,匯入圖片開始編輯,編集を始めるには画像をインポートしてください,Importa un'immagine per iniziare a modificare,"Importiere ein Bild, um mit der Bearbeitung zu beginnen",Importez une image pour commencer à éditer,Importar uma imagem para começar a editar,Импортируйте изображение чтобы начать редактирование,Importar uma imagem para começar a editar,Importuj obraz aby rozpocząć edycję,Düzenlemeye başlamak için bir resim içe aktarın,Irudia inportatu editatzen hasteko,Importar una imatge per començar a editar,นำเข้ารูปภาพเพื่อเริ่มแก้ไข,편집을 시작하려면 이미지를 가져오세요,Importujte obrázek pro úpravy
uploadImage,Load local image,Cargar imagen local,Cargar imagen local,Carregar imatge local,加载本地图像,載入本地圖像,ローカル画像を読み込む,Carica immagine locale,Lokales Bild laden,Charger l'image locale,Carregar imagem local,Загрузить локальное изображение,Carregar imagem local,Załaduj obraz lokalny,Yerel resmi yükle,Irudia lokal kargatu,Cargar imatge locala,โหลดภาพในเครื่อง,로컬 이미지 로드,Načíst místní obrázek
chooseFile,Upload an image file from your local device,Subir un archivo de imagen desde su dispositivo local,Subir un archivo de imagen desde su dispositivo local,Pujar un fitxer d'imatge des del dispositiu local,上传图像文件从您的本地设备,從您的本地裝置上傳圖像檔案,ローカルデバイスから画像ファイルをアップロード,Carica un file immagine dal tuo dispositivo locale,Bilddatei von Ihrem lokalen Gerät hochladen,Télécharger un fichier image depuis votre appareil local,Carregar um arquivo de imagem do seu dispositivo local,Загрузить файл изображения с вашего локального устройства,Carregar um arquivo de imagem do seu dispositivo local,Prześlij plik obrazu z urządzenia lokalnego,Yerel cihazınızdan bir görüntü dosyası yükleyin,Irudia fitxategia kargatu zure gailu lokalatik,Telecargar un fichièr d'imatge dempuèi vòstre dispositiu local,อัปโหลดไฟล์ภาพจากอุปกรณ์ในเครื่องของคุณ,로컬 장치에서 이미지 파일 업로드,Lokální zařízení nahrát soubor obrázku
dragDropText,"Load, drag and drop or paste an image","Cargar, arrastra, suelta o pega una imagen","Cargar, arrastra, suelta o pega una imagen","Carrega, arrossega, deixa anar o enganxa una imatge","加载、拖放或粘贴一张图片","載入、拖放或貼上圖片","画像を読み込む、ドラッグ＆ドロップ、または貼り付け","Carica, trascina e rilascia o incolla un'immagine","Bild laden, per Drag-and-drop ablegen oder einfügen","Charger, glisser-déposer ou coller une image","Carregar, arrastar e largar ou colar uma imagem","Загрузите, перетащите или вставьте изображение","Carregar, arrastar e soltar ou colar uma imagem","Wczytaj, przeciągnij i upuść lub wklej obraz","Bir görsel yükleyin, sürükleyip bırakın veya yapıştırın","Kargatu, arrastatu eta jaregin edo itsatsi irudia","Carregatz, arrastatz, daissatz anar o colatz una imatge","โหลด ลากและวาง หรือวางรูปภาพจากคลิปบอร์ด","이미지 불러오기 — 드래그 앤 드롭하거나 붙여넣기","Nahrajte, přetáhněte nebo vložte obrázek"
loadFromClipboard,Paste image from clipboard,Pegar imagen desde el portapapeles,Pegar imagen desde el portapapeles,Enganxar imatge des del porta-retalls,从剪贴板粘贴图像,從剪貼簿貼上圖像,クリップボードから画像を貼り付け,Incolla immagine dagli appunti,Bild aus Zwischenablage einfügen,Coller l'image depuis le presse-papiers,Colar imagem da área de transferência,Вставить изображение из буфера обмена,Colar imagem da área de transferência,Wklej obraz ze schowka,Panodan resim yapıştır,Itsatsi irudia arbeletik,Pegar l'imatge del portapapèls,วางภาพจากคลิปบอร์ด,클립보드에서 이미지 붙여넣기,Vložit obrázek ze schránky
pasteFromClipboard,Paste or drag and drop here an image,Pegar o arrastrar y soltar aquí una imagen,Pegar o arrastrar y soltar aquí una imagen,Enganxar o arrossegar i deixar anar aquí una imatge,粘贴或拖放此处图像,貼上或拖放此處圖像,ここに画像を貼り付けまたはドラッグアンドドロップ,Incolla o trascina e rilascia qui un'immagine,Einfügen oder hierher ziehen und ablegen ein Bild,Coller ou glisser-déposer ici une image,Colar ou arrastar e soltar aqui uma imagem,Вставить или перетащить сюда изображение,Colar ou arrastar e soltar aqui uma imagem,Wklej lub przeciągnij i upuść tutaj obraz,Yapıştır veya buraya sürükle ve bırak bir resim,Itsatsi edo arrastatu eta jaregin hemen irudi bat,Pegar o traïnar e daissar aicí una imatge,วางหรือลากและวางที่นี่รูปภาพ,붙여넣기 또는 여기로 드래그 앤 드롭 이미지,Vložit nebo přetáhnout a pustit sem obrázek
fromUrl,Load image from internet,Cargar imagen desde internet,Cargar imagen desde internet,Carregar imatge des d'internet,从互联网加载图像,從網際網路載入圖像,インターネットから画像を読み込む,Carica immagine da internet,Bild aus dem Internet laden,Charger l'image depuis internet,Carregar imagem da internet,Загрузить изображение из интернета,Carregar imagem da internet,Załaduj obraz z internetu,İnternetten resim yükle,Internetetik irudia kargatu,Cargar imatge dempuèi internet,โหลดภาพจากอินเทอร์เน็ต,인터넷에서 이미지 로드,Načíst obrázek z internetu
fromUrlDesc,Type here the URL of an image,Escribe aquí la URL de una imagen,Escribe aquí la URL de una imagen,Escriu aquí l'URL d'una imatge,在此处输入图像的 URL,在此輸入圖像的 URL,ここに画像のURLを入力してください,Inserisci qui l'URL di un'immagine,Geben Sie hier die URL eines Bildes ein,Saisissez ici l'URL d'une image,Digite aqui o URL de uma imagem,Введите здесь URL изображения,Digite aqui o URL de uma imagem,Wpisz tutaj adres URL obrazu,Buraya bir resmin URL'sini yazın,Hemen idatzi irudi baten URLa,Escriu aicí l'URL d'una imatge,พิมพ์ URL ของภาพที่นี่,여기에 이미지 URL을 입력하세요,Zde zadejte URL obrázku
camera,Take a photo,Hacer una foto,Hacer una foto,Fer una foto,拍照,拍照,写真を撮る,Scattare una foto,Foto aufnehmen,Prendre une photo,Tirar uma foto,Сделать фото,Tirar uma foto,Zrobić zdjęcie,Fotoğraf çekmek,Argazki bat ateratzea,Far una foto,ถ่ายรูป,사진 찍기,Pořídit fotku
preview,Select and use a camera source to take a photo,Selecciona y usa una fuente de cámara para tomar una foto,Selecciona y usa una fuente de cámara para tomar una foto,Selecciona i utilitza una font de càmera per fer una foto,选择并使用相机源拍摄照片,選擇並使用相機來源拍攝照片,カメラソースを選択して写真を撮影する,Seleziona e usa una sorgente della fotocamera per scattare una foto,Kameraquelle auswählen und verwenden, um ein Foto aufzunehmen,Sélectionnez et utilisez une source de caméra pour prendre une photo,Selecione e use uma fonte de câmera para tirar uma foto,Выберите и используйте источник камеры для съёмки фото,Selecione e use uma fonte de câmera para tirar uma foto,Wybierz i użyj źródła kamery, aby zrobić zdjęcie,Bir kamera kaynağı seçin ve fotoğraf çekmek için kullanın,Kamera iturri bat aukeratu eta erabili argazki bat ateratzeko,Seleccionar e utilizar una font de camèra per prene una fòto,เลือกและใช้แหล่งกล้องเพื่อถ่ายภาพ,카메라 소스를 선택하고 사진을 찍기 위해 사용하세요,Vyberte a použijte zdroj kamery k pořízení fotografie
notAvailable,Not available,No disponible,No disponible,No disponible,不可用,不可用,利用不可,Non disponibile,Nicht verfügbar,Non disponible,Não disponível,Недоступно,Não disponível,Niedostępne,Mevcut değil,Ez dago eskuragarri,Pas disponible,ไม่พร้อมใช้งาน,사용할 수 없음,Nedostupné
capture,Capture,Capturar,Capturar,Capturar,拍摄,擷取,キャプチャ,Cattura,Aufnehmen,Capturer,Capturar,Захватить,Capturar,Przechwyć,Yakala,Harrapatu,Capturar,จับภาพ,캡처,Pořídit snímek
switchCamera,Switch camera,Cambiar cámara,Cambiar cámara,Canviar càmera,切换相机,切換相機,カメラを切替,Cambia fotocamera,Kamera wechseln,Changer la caméra,Mudar câmara,Переключить камеру,Mudar câmara,Przełącz aparat,Kamerayı değiştir,Kamera aldatu,Canviar càmera,สลับกล้อง,카메라 전환,Přepnout kameru
imageLoaded,Image loaded successfully!,¡Imagen cargada correctamente!,¡Imagen cargada correctamente!,Imatge carregada correctament!,图片加载成功！,圖片載入成功！,画像を読み込みました！,Immagine caricata con successo!,Bild erfolgreich geladen!,Image chargée avec succès !,Imagem carregada com sucesso!,Изображение загружено успешно!,Imagem carregada com sucesso!,Obraz załadowany pomyślnie!,Görüntü başarıyla yüklendi!,Irudia ondo kargatu da!,Imatge carregada correctament!,โหลดรูปภาพสำเร็จ!,이미지 로드 완료!,Obrázek byl úspěšně načten!
imageLoadError,Failed to load image,Error al cargar la imagen,Error al cargar la imagen,Error en carregar la imatge,加载图片失败,載入圖片失敗,画像の読み込みに失敗しました,Errore nel caricamento dell'immagine,Fehler beim Laden des Bildes,Échec du chargement de l'image,Falha ao carregar imagem,Не удалось загрузить изображение,Falha ao carregar imagem,Błąd ładowania obrazu,Yükleme başarısız,Errorea irudia kargatzean,Error en carregar la imatge,โหลดรูปภาพไม่สำเร็จ,이미지 로드 실패,Nepodařilo se načíst obrázek
imageDownloaded,Image downloaded!,¡Imagen descargada!,¡Imagen descargada!,Imatge descarregada!,图片已下载！,圖片已下載！,画像をダウンロードしました！,Immagine scaricata!,Bild heruntergeladen!,Image téléchargée !,Imagem baixada!,Изображение скачано!,Imagem baixada!,Obraz pobrany!,Görüntü indirildi!,Irudia deskargatua!,Imatge descarregada!,ดาวน์โหลดรูปภาพแล้ว!,이미지 다운로드 완료!,Obrázek stažen!
imageTooLarge,Image too large! Maximum size is 4096x4096px,¡Imagen demasiado grande! El tamaño máximo es 4096×4096px,¡Imagen demasiado grande! El tamaño máximo es 4096×4096px,Imatge massa gran! La mida màxima és 4096×4096px,图片过大！最大尺寸为 4096×4096px,圖片過大！最大尺寸為 4096×4096px,画像が大きすぎます！最大サイズは 4096×4096px,Immagine troppo grande! La dimensione massima è 4096×4096px,Bild zu groß! Maximale Größe ist 4096×4096px,Image trop grande ! La taille maximale est 4096×4096px,Imagem muito grande! Tamanho máximo é 4096x4096px,Изображение слишком большое! Максимальный размер 4096x4096px,Imagem muito grande! Tamanho máximo é 4096x4096px,Obraz zbyt duży! Maksymalny rozmiar to 4096x4096px,Görüntü çok büyük! Maksimum boyut 4096x4096px,Irudia handiegia! Gehienezko tamaina 4096x4096px da,Imatge massa gran! La mida màxima és 4096×4096px,รูปภาพมีขนาดใหญ่เกินไป! ขนาดสูงสุดคือ 4096×4096px,이미지가 너무 큽니다! 최대 크기: 4096×4096px,Obrázek je příliš velký! Maximální velikost je 4096×4096 px
noFileChosen,No file chosen,Ningún archivo seleccionado,Ningún archivo seleccionado,Cap fitxer seleccionat,未选择文件,尚未選擇檔案,ファイルが選択されていません,Nessun file selezionato,Keine Datei ausgewählt,Aucun fichier choisi,Nenhum arquivo escolhido,Файл не выбран,Nenhum arquivo escolhido,Brak wybranego pliku,Dosya seçilmedi,Fitxategirik ez aukeratua,Cap fitxer seleccionat,ยังไม่ได้เลือกไฟล์,선택된 파일 없음,Žádný soubor nebyl vybrán
oopsPageNotFound,Oops! Page not found,¡Vaya! Página no encontrada,¡Vaya! Página no encontrada,Ups! Pàgina no trobada,页面未找到,找不到頁面,おっと！ページが見つかりません,Ops! Pagina non trovata,Ups! Seite nicht gefunden,Oups ! Page non trouvée,Ops! Página não encontrada,Упс! Страница не найдена,Ops! Página não encontrada,Ups! Strona nie znaleziona,Ay! Sayfa bulunamadı,Ondo! Orria ez da aurkitu,Ups! Pàgina no trobada,โอ๊ะ! ไม่พบหน้า,앗! 페이지를 찾을 수 없습니다,Jejda! Stránka nebyla nalezena
cameraError,Camera Error,Error de cámara,Error de cámara,Error de càmera,相机错误,相機錯誤,カメラエラー,Errore fotocamera,Kamera Fehler,Erreur de caméra,Erro de câmara,Ошибка камеры,Erro de câmara,Błąd aparatu,Kamera Hatası,Kamera errorea,Error de càmera,ข้อผิดพลาดกล้อง,카메라 오류,Chyba kamery
cameraNotAvailable,Camera not available or access denied,Cámara no disponible o acceso denegado,Cámara no disponible o acceso denegado,Càmera no disponible o accés denegat,相机不可用或访问被拒绝,相機不可用或拒絕存取,カメラが利用できないかアクセスが拒否されました,Fotocamera non disponibile o accesso negato,Kamera nicht verfügbar oder Zugriff verweigert,Caméra non disponible ou accès refusé,Câmara não disponível ou acesso negado,Камера недоступна или доступ запрещен,Câmara não disponível ou acesso negado,Aparat niedostępny lub odmowa dostępu,Kamera kullanılamıyor veya erişim reddedildi,Kamera ez dago eskuragarri edo sarbidea ukatua,Càmera no disponible o accés denegat,ไม่พบกล้อง หรือปฏิเสธการเข้าถึง,카메라를 사용할 수 없거나 접근이 거부되었습니다,Kamera není dostupná nebo přístup byl odepřen
cameraTimeout,Camera timeout - please try again,Tiempo de espera de la cámara — inténtalo de nuevo,Tiempo de espera de la cámara — inténtalo de nuevo,Temps d'espera de la càmera — torna-ho a provar,相机超时 — 请重试,相機逾時 — 請重試,カメラのタイムアウト — もう一度試してください,Timeout fotocamera — riprova,Kamera Timeout — bitte erneut versuchen,Timeout de la caméra — veuillez réessayer,Timeout da câmara - tente novamente,Тайм-аут камеры - попробуйте еще раз,Timeout da câmara - tente novamente,Przekroczono limit czasu aparatu - spróbuj ponownie,Kamera zaman aşımı - lütfen tekrar dene,Kameraren denbora-muga - saiatu berriro,Temps d'espera de la càmera — torna-ho a provar,การเชื่อมต่อกล้องหมดเวลา — โปรดลองอีกครั้ง,카메라 타임아웃 — 다시 시도하세요,Vypršel časový limit kamery — prosím zkuste to znovu
cameraNotReadable,Could not start camera - please check permissions,No se pudo iniciar la cámara — revisa permisos,No se pudo iniciar la cámara — revisa permisos,No s'ha pogut iniciar la càmera — comprova permisos,无法启动相机 — 请检查权限,無法啟動相機 — 請檢查權限,カメラを開始できません — 権限を確認してください,Impossibile avviare la fotocamera — controlla i permessi,Kamera konnte nicht gestartet werden — überprüfe Berechtigungen,Impossible de démarrer la caméra — vérifiez les permissions,Não foi possível iniciar a câmara - verifique as permissões,Не удалось запустить камеру - проверьте разрешения,Não foi possível iniciar a câmara - verifique as permissões,Nie udało się uruchomić aparatu - sprawdź uprawnienia,Kamera başlatılamadı - lütfen izinleri kontrol edin,Ezin izan da kamera abiarazi - egiaztatu baimenak,No s'ha pogut iniciar la càmera — comprova permisos,ไม่สามารถเริ่มกล้อง — ตรวจสอบสิทธิ์,카메라를 시작할 수 없습니다 — 권한을 확인하세요,Nelze spustit kameru — zkontrolujte oprávnění
noImageFoundInClipboard,No image found in clipboard,No se encontró imagen en el portapapeles,No se encontró imagen en el portapapeles,No s'ha trobat cap imatge al porta-retalls,剪贴板中未找到图片,剪貼簿中未找到圖片,クリップボードに画像が見つかりませんでした,Nessuna immagine trovata negli appunti,Kein Bild in der Zwischenablage gefunden,Aucune image trouvée dans le presse-papiers,Nenhuma imagem encontrada na área de transferência,Изображение не найдено в буфере обмена,Nenhuma imagem encontrada na área de transferência,Brak obrazu w schowku,Panoda görüntü bulunamadı,Arbelean ez da irudirik aurkitu,No s'ha trobat cap imatge al porta-retalls,ไม่พบรูปภาพในคลิปบอร์ด,클립보드에서 이미지를 찾을 수 없습니다,Ve schránce nebyl nalezen žádný obrázek
failedToReadClipboard,Failed to read clipboard. Please make sure you have an image copied.,No se pudo leer el portapapeles. Asegúrate de tener una imagen copiada.,No se pudo leer el portapapeles. Asegúrate de tener una imagen copiada.,No s'ha pogut llegir el porta-retalls. Assegura't de tenir una imatge copiada.,无法读取剪贴板。请确保已复制图片。,無法讀取剪貼簿。請確保已複製圖片。,クリップボードの読み取りに失敗しました。画像がコピーされていることを確認してください。,Impossibile leggere gli appunti. Assicurati di avere un'immagine copiata.,"Konnte die Zwischenablage nicht lesen. Stelle sicher, dass ein Bild kopiert wurde.",Impossible de lire le presse-papiers. Assurez-vous qu'une image est copiée.,Falha ao ler a área de transferência. Certifique-se de ter uma imagem copiada.,Не удалось прочитать буфер обмена. Убедитесь, что изображение скопировано.,Falha ao ler a área de transferência. Certifique-se de ter uma imagem copiada.,Nie udało się odczytać schowka. Upewnij się, że skopiowano obraz.,Panoyu okuma başarısız. Lütfen bir görüntünün kopyalandığından emin olun.,Ezin izan da arbelea irakurri. Ziurtatu irudi bat kopiatu duzula.,No s'ha pogut llegir el porta-retalls. Assegura't de tenir una imatge copiada.,ไม่สามารถอ่านคลิปบอร์ดได้ โปรดตรวจสอบว่ามีรูปภาพถูกคัดลอกไว้,클립보드를 읽을 수 없습니다. 이미지가 복사되었는지 확인하세요.,Nepodařilo se přečíst schránku. Ujistěte se, že máte zkopírovaný obrázek.
pleaseDropImageFile,Please drop an image file,"Por favor, suelta un archivo de imagen","Por favor, suelta un archivo de imagen","Si us plau, deixa un fitxer d'imatge",请放下一个图片文件,請放下圖片檔案,画像ファイルをドロップしてください,"Per favore, rilascia un file immagine",Bitte lass eine Bilddatei fallen,Veuillez déposer un fichier image,"Por favor, solte um arquivo de imagem","Пожалуйста, перетащите файл изображения","Por favor, solte um arquivo de imagem","Proszę upuść plik obrazu",Lütfen bir görüntü dosyası bırakın,"Mesedez, askatu irudi fitxategi bat","Si us plau, deixa un fitxer d'imatge",โปรดปล่อยไฟล์รูปภาพ,이미지 파일을 드롭하세요,Prosím přetáhněte soubor s obrázkem sem
copyImageError,Failed to copy image to clipboard,Error al copiar la imagen al portapapeles,Error al copiar la imagen al portapapeles,Error en copiar la imatge al porta-retalls,复制图片到剪贴板失败,複製圖片到剪貼簿失敗,画像をクリップボードにコピーできませんでした,Errore nel copiare l'immagine negli appunti,Fehler beim Kopieren des Bildes in die Zwischenablage,Échec de la copie de l'image dans le presse-papiers,Falha ao copiar imagem para a área de transferência,Не удалось скопировать изображение в буфер обмена,Falha ao copiar imagem para a área de transferência,Błąd kopiowania obrazu do schowka,Kopyalama başarısız panoya,Errorea irudia arbelean kopiatzean,Error en copiar la imatge al porta-retalls,คัดลอกรูปภาพไปยังคลิปบอร์ดไม่สำเร็จ,이미지를 클립보드에 복사하지 못했습니다,Nepodařilo se zkopírovat obrázek do schránky
dropboxComingSoon,Dropbox integration coming soon!,¡Integración con Dropbox próximamente!,¡Integración con Dropbox próximamente!,Integració amb Dropbox pròximament!,Dropbox 集成即将推出！,Dropbox 整合即將推出！,Dropbox 統合は近日対応予定！,Integrazione con Dropbox in arrivo!,Dropbox-Integration kommt bald!,Intégration Dropbox bientôt disponible !,Integração com Dropbox em breve!,Интеграция с Dropbox скоро!,Integração com Dropbox em breve!,Integracja z Dropbox wkrótce!,Dropbox entegrasyonu yakında!,Dropbox integrazioa laster!,Integració amb Dropbox pròximament!,การผสานรวม Dropbox เร็ว ๆ นี้!,Dropbox 통합 준비 중입니다!,Integrace Dropbox brzy k dispozici!
googleDriveComingSoon,Google Drive integration coming soon!,¡Integración con Google Drive próximamente!,¡Integración con Google Drive próximamente!,Integració amb Google Drive pròximament!,Google Drive 集成即将推出！,Google Drive 整合即將推出！,Google Drive 統合は近日対応予定！,Integrazione con Google Drive in arrivo!,Google Drive-Integration kommt bald!,Intégration Google Drive bientôt disponible !,Integração com Google Drive em breve!,Интеграция с Google Drive скоро!,Integração com Google Drive em breve!,Integracja z Google Drive wkrótce!,Google Drive entegrasyonu yakında!,Google Drive integrazioa laster!,Integració amb Google Drive pròximament!,การผสานรวม Google Drive เร็ว ๆ นี้!,Google Drive 통합 준비 중입니다!,Integrace Google Drive brzy k dispozici!
selectCamera,Select camera,Seleccionar cámara,Seleccionar cámara,Seleccionar càmera,选择相机,選擇相機,カメラを選択,Seleziona fotocamera,Kamera auswählen,Sélectionner caméra,Selecionar câmara,Выберите камеру,Selecionar câmara,Wybierz aparat,Kamera seç,Aukeratu kamera,Seleccionar càmera,เลือกกล้อง,카메라 선택,Vyberte kameru
noCamerasDetected,"No cameras detected, please close and try again after connecting, activating and enabling a camera","No se detectaron cámaras. Cierra la aplicación y vuelve a intentarlo después de conectar y activar la cámara","No se detectaron cámaras. Cierra la aplicación y vuelve a intentarlo después de conectar y activar la cámara",No s'han detectat càmeres; tanca i torna a provar després de connectar i activar una càmera,未检测到相机；连接并启用相机后重试,未偵測到相機；連接並啟用相機後重試,カメラが検出されませんでした; 接続して有効にしてから再試行してください,Nessuna fotocamera rilevata; chiudi e riprova dopo aver connesso e attivato una fotocamera,"Keine Kameras erkannt; schließe und versuche es erneut, nachdem du eine Kamera angeschlossen und aktiviert hast",Aucune caméra détectée ; reconnectez et activez une caméra puis réessayez,"Nenhuma câmara detectada, feche e tente novamente após conectar, ativar e habilitar uma câmara","Камеры не обнаружены, пожалуйста, закройте и попробуйте снова после подключения, активации и включения камеры","Nenhuma câmara detectada, feche e tente novamente após conectar, ativar e habilitar uma câmara","Nie wykryto aparatów, zamknij i spróbuj ponownie po podłączeniu, aktywacji i włączeniu aparatu","Kamera algılanmadı, lütfen bağlayıp etkinleştirdikten sonra kapatın ve tekrar deneyin","Ez da kamerarik detektatu, itxi eta saiatu berriro kamera konektatu, aktibatu eta gaitu ondoren",No s'han detectat càmeres; tanca i torna a provar després de connectar i activar una càmera,ไม่พบกล้อง โปรดเชื่อมต่อ เปิดใช้งาน และลองอีกครั้ง,카메라가 감지되지 않았습니다. 카메라를 연결하고 활성화한 후 다시 시도하세요,Z žádných kamer nebylo zjištěno; připojte a povolte kameru a zkuste to znovu
camera1,Camera 1,Cámara 1,Cámara 1,Càmera 1,相机 1,相機 1,カメラ 1,Fotocamera 1,Kamera 1,Caméra 1,Câmara 1,Камера 1,Câmara 1,Aparat 1,Kamera 1,Kamera 1,Càmera 1,กล้อง 1,카메라 1,Kamera 1
camera2,Camera 2,Cámara 2,Cámara 2,Càmera 2,相机 2,相機 2,カメラ 2,Fotocamera 2,Kamera 2,Caméra 2,Câmara 2,Камера 2,Câmara 2,Aparat 2,Kamera 2,Kamera 2,Càmera 2,กล้อง 2,카메라 2,Kamera 2
camera3,Camera 3,Cámara 3,Cámara 3,Càmera 3,相机 3,相機 3,カメラ 3,Fotocamera 3,Kamera 3,Caméra 3,Câmara 3,Камера 3,Câmara 3,Aparat 3,Kamera 3,Kamera 3,Càmera 3,กล้อง 3,카메라 3,Kamera 3